引才单位,岗位名称,人员需求情况,,,,,,提供待遇情况,,,引才方式,引才来源,区县,联系人电话
,学术骨干、优秀青年学者,计算数学、应用数学、金融数学,45岁,博士,副教授,在高校、科研单位工作过，主持过科研项目。,1,,,,均可,不限,,
,学术骨干,统计学,50岁以下,博士,副教授及以上,国外大学取得统计学博士学位，在国外统计学顶尖杂志发表论文。,1,,,,均可,不限,,
,优秀青年学者,会计（财务会计、会计理论）,40岁以下,博士或博士后,副教授以上,至少5年以上教师工作经验。发表B类以上高水平论文，拥有省部级课题，有国家级项目优先。,2,,,,均可,不限,,
,优秀青年学者,会计（审计）,40岁以下,博士,副教授以上,至少5年以上教师工作经验。发表B类以上高水平论文，拥有省部级课题，有国家级项目优先。有博士后工作经历的优先。,2,,面议,,均可,不限,,
,优秀青年学者,会计（财务管理）,40岁以下,博士,副教授以上,至少5年以上教师工作经验。发表B类以上高水平论文，拥有省部级课题，有国家级项目优先。有博士后工作经历的优先。,2,,,,均可,不限,,
,优秀青年学者,工商管理,40岁以下,硕士及以上,副教授以上,国内重点大学或国际知名大学学习或工作。近三年在国际或国内重要期刊发表论文5篇及以上。,1,,,,均可,不限,,
,优秀青年学者,心理学,40岁以下,硕士及以上,副教授以上,国内重点大学或国际知名大学学习或工作。近三年在国际或国内重要期刊发表论文5篇及以上。,1,,,,均可,不限,,
,学术骨干,产业经济学,45岁以下,博士,副高及以上,在国内外高校或科研院所从事产业经济学研究工作5年以上，并在本学术领域具有一定影响力。在CSSCI检索（经济类、管理类）排名前20%的期刊公开发表论文3篇以上（含3篇，排名前2名）；有主持国家自然科学基金或国家社会科学基金经历。,1,,,,均可,不限,,
,学术骨干,信息管理与信息系统及相关,不限,博士,副教授以上,国内核心及以上期刊发表过专业相关学术论文2篇以上或主持过省部级以上项目或作为主要参加人参与过国家级项目。,2,,,,均可,不限,,
,学术骨干,信息资源管理及相关,不限,博士,副教授以上,国内核心及以上期刊发表过专业相关学术论文2篇以上或主持过省部级以上项目或作为主要参加人参与过国家级项目。,3,,,,均可,不限,,
,学术骨干,工程管理,45岁以下,博士,教授,有工程管理相关专业背景，具有本科教学及科学研究经历。主持完成过两项国家自然科学/社会科学基金项目。,1,,,,均可,不限,,
,学术骨干,旅游管理,45岁以下,管理学博士,副教授以上 ,从事旅游教学与研究工作10年以上。主持国家级课题；发表CSSCI或CSCD论文10篇以上。,1,,,,均可,不限,,
,学术骨干,人文地理,45岁以下,理学博士,副教授以上,从事旅游教学与研究工作10年以上。主持国家级课题；发表CSSCI或CSCD论文10篇以上。,1,,,,均可,不限,,
,学术骨干,工商管理,不限,博士,副教授及以上,有课题或项目研究经历，在核心期刊及以上发表过论文。扎实的管理学理论基础；优秀的研究能力；优秀的文字表达能力（中英文）；良好的项目管理和统筹规划能力；良好的人际沟通和协调能力。,1,,,,均可,不限,,
天津医科大学,教授,生物化学与分子生物学,45岁以下,博士,海外助理教授以上,国外大学三年以上博士后经历，发表高水平论文。,2,视学术水平而定,,,刚性,海外,和平区,夏睦群     022-83336737　　　　　　
,教授,生理学与病理生理学,45岁以下,博士,,国外大学三年以上博士后经历，发表高水平论文。,2,视学术水平而定,,,刚性,海外,,
,教授,医学微生物学,45岁以下,博士,,国外大学三年以上博士后经历，发表高水平论文。,2,视学术水平而定,,,刚性,海外,,
,教授,病理学,45岁以下,博士,,"具有5年以上海外留学经历，发表SCI文章IF≥10,全职回国工作。",1,视学术水平而定,,,刚性,海外,,
,教授,超微病理,45岁以下,博士,,具有5年以上海外留学经历，从事病理学临床诊断15年以上。,1,视学术水平而定,,,刚性,海外,,
,教授,药理学,45岁以下,博士,,具有5年以上海外留学经历，发表高水平论文。,1,视学术水平而定,,,刚性,海外,,
,教授,营养与食品卫生,45岁以下,博士,,国外大学三年以上博士后经历，发表高水平论文。,1,视学术水平而定,,,刚性,海外,,
,教授,流行病与卫生统计学,45岁以下,博士,,国外大学三年以上博士后经历，发表高水平论文。,1,视学术水平而定,,,刚性,海外,,
,教授,肿瘤学,45岁以下,博士,,国外大学三年以上博士后经历，发表高水平论文。,2,视学术水平而定,,,刚性,海外,,
天津中医药大学,国家“千人计划”长期项目、短期项目、“外专千人计划”项目；教育部“长江学者奖励计划”,神经生理；康复医学；针灸学；骨伤学；生物信息处理；病理生理学；组织胚胎学；人体解剖学；生理学；医学免疫学；细胞生物学；分子生物学；细胞生物学；流行病学、卫生统计学等相关；毒理学；代谢动力学；分析化学（基于中药多成分特点的分析方法的建立）；药物化学（中药有效成分的结构修饰、改造）、注册护士（临床护理专家、老年方向临床护理专家、执业护士、老年方向执业护士）,50岁以下,博士,教授,较高学术水平。,不限,薪酬按国家及天津市有关规定执行（短期项目、外专项目待遇面议）,长期项目补贴200万，科研启动费400万,面议,均可,海外,南开区,王芬       022-59596115
,天津市“千人计划”长期项目,,50岁以下,博士,副教授,较高学术水平。,不限,薪酬按国家及天津市有关规定执行,科研启动费100万,面议,均可,海外,,
,天津市高端外国专家项目,,65岁以下,博士,教授,较高学术水平。,不限,在工薪和其他相关费用上可获得国家外专局的重点支持,面议,面议,均可,海外,,
,天津市“千人计划”短期项目,,55岁以下,博士,教授,较高学术水平。,不限,薪酬按国家及天津市有关规定执行,面议,面议,均可,海外,,
,国家“青年千人计划”,,40岁以下,博士,不限,较高学术水平，海外工作3年。,不限,,补贴50-100万，科研启动费100-300万,面议,均可,海外,,
,天津市“青年千人计划”,,,,,较高学术水平。,不限,,面议,面议,均可,不限,,
,天津市特聘教授,,45岁以下,博士,海外助理教授或国内教授,较高学术水平。,不限,工资待遇按国家及天津市有关规定执行,科研启动费80万，岗位津贴15万元/年,面议,均可,不限,,
,天津市特聘讲座教授,,55岁以下,博士,副教授,较高学术水平。,不限,24,科研启动经费50元,面议,均可,海外,,
,教学、科研骨干,,40岁以下,博士,不限,较高学术水平，海外工作2年以上。,不限,工资待遇按国家及天津市有关规定执行,科研启动费10-30万,面议,均可,不限,,
,妇产科医师,中西医结合妇产科,50岁以下,博士,博导/硕导，教授/主任医师,三甲医院工作经历、学科骨干。,2,面议,面议,面议,均可,国内,,
,中医科医师,中西医结合内科,50岁以下,博士,,三甲医院工作经历、有中医学背景，学科骨干。,1,面议,面议,面议,均可,国内,,
,儿科医师,儿科学,50岁以下,博士,,三甲医院工作经历、学科骨干。,1,面议,面议,面议,均可,国内,,
,外科医师,西医,50岁以下,博士,,三甲医院工作经历、学科骨干。,2,面议,面议,面议,均可,国内,,
,,外科学,,,,,,22.11604938,,面议,,,,
,超声诊断医师,影像医学,50岁以下,博士,,三甲医院工作经历、学科骨干。,1,面议,面议,面议,均可,国内,,
天津城建大学,学科带头人,土木工程,45岁以下,博士,相当于国内副教授及以上职称,在国内外著名高校、科研院所任职的专家学者，具有海外工作经历。主持国内外重要科研项目2项以上，以第一作者发表被SCI、EI、SSCI、A&HCI检索的论文4篇；或以第一作者发表被SCI、EI、SSCI、A&HCI、CSCD、CSSCI检索的论文6篇。,2,实行年度协议工资制，协议工资平均到12个月发放，且学校按国家规定缴纳在校工作期间医疗等保险费用,提供相应的科研配套经费,安家费由天津市根据相关政策提供。不提供安家费的，学校提供不小于100平方米的租赁住房一套,均可,不限,西青区,刘慧   23085026
,学科带头人,环境工程,45岁以下,博士,,在国内外著名高校、科研院所任职的专家学者，具有海外工作经历。主持国内外重要科研项目2项以上，以第一作者发表被SCI、EI、SSCI、A&HCI检索的论文4篇；或以第一作者发表被SCI、EI、SSCI、A&HCI、CSCD、CSSCI检索的论文6篇。,2,22.11604938,,,均可,不限,,
,学科带头人,建筑学,45岁以下,博士,,在国内外著名高校、科研院所任职的专家学者，具有海外工作经历。主持国内外重要科研项目2项以上，以第一作者发表被SCI、EI、SSCI、A&HCI检索的论文4篇；或以第一作者发表被SCI、EI、SSCI、A&HCI、CSCD、CSSCI检索的论文6篇。,1,,,,均可,不限,,
,学科带头人,城乡规划学,45岁以下,博士,,在国内外著名高校、科研院所任职的专家学者，具有海外工作经历。主持国内外重要科研项目2项以上，以第一作者发表被SCI、EI、SSCI、A&HCI检索的论文4篇；或以第一作者发表被SCI、EI、SSCI、A&HCI、CSCD、CSSCI检索的论文6篇。,1,,,,均可,不限,,
,学术骨干,电子信息工程、管理科学与工程、材料科学与工程、风景园林学、计算机科学与技术、电气工程及其自动化、机械设计制造及其自动化等,35岁以下,博士,,在国内外著名高校、科研院所从事教学或科研工作，具有海外工作经历。主持国内外重要科研项目1项以上，以第一作者发表论文5篇以上，且被SCI、EI、SSCI、A&HCI收录2篇以上，或包括被CSSCI、CSCD收录在内4篇以上。,14,,,酌情提供住房补贴,均可,不限,,
,教授、副教授,广播电视学,教授40岁以下，副教授35岁以下,,,符合南开大学教授岗位、副教授岗位相应申报条件，熟悉广播电视业务，有一定从业经验。,不限,,,,均可,不限,,
,教授、副教授,美术史或艺术学理论,,,,符合南开大学教授岗位、副教授岗位相应申报条件。,不限,,,,均可,不限,,
,教授、副教授,书法及篆刻,,,,符合南开大学教授岗位、副教授岗位相应申报条件，具有书法及篆刻创作经验且其书法作品获过省部级以上奖励。,不限,,,,均可,不限,,
,南开讲席教授、杰出教授、英才教授,美国史、欧洲史,讲座教授55岁以下；杰出、英才教授50岁以下,,,符合南开大学高端人才岗位相应申报条件，具有教授职称，获得国家级奖励，在本学科领域具有一定学术影响力。,不限,,,,均可,不限,,
,,马克思主义哲学,,,,符合南开大学高端人才岗位相应申报条件。,不限,,,,均可,不限,,
,百名青年学科带头人,中国近现代史,,,,符合南开大学百名青年学科带头人培养计划相应申报条件，在本专业领域顶尖或权威期刊发表论文并有较大影响力，获得省部级奖励。,不限,,,,均可,不限,,
,南开讲席教授、杰出教授、英才教授,法学理论、法律史、宪法与行政法、刑法、民商法、诉讼法、经济法、资源与环境保护法、国际法,讲座教授55岁以下；杰出、英才教授50岁以下,,,符合南开大学高端人才岗位相应申报条件。,不限,,,,均可,不限,,
,教授,法学理论,40岁以下,,,符合南开大学教授岗位相应申报条件。,不限,,,,均可,不限,,
,副教授、教授,金融法（证券期货法方向）,教授40岁以下，副教授35岁以下,,,符合南开大学教授岗位、副教授岗位相应申报条件。,不限,,,,均可,不限,,
,南开讲席教授、杰出教授、英才教授,政治学,讲座教授55岁以下；杰出、英才教授50岁以下,,,符合南开大学高端人才岗位相应申报条件，天津“千人计划”创新人才长期项目入选者；具有教授职称，获国内外知名学术荣誉者、在国外学术机构任职的学者优先。,不限,,,,均可,不限,,
,教授,社会学,40岁以下,,,符合南开大学教授岗位相应申报条件，具有与南开社会学发展相适应的研究方向，学术成果丰富、学术水平较高的教授。获国内外知名学术荣誉者、在国外学术机构任职的学者优先。,不限,,,,均可,不限,,
,南开讲席教授、杰出教授、英才教授；教授、副教授      ,理论经济学、应用经济学,讲座教授55岁以下；杰出、英才教授50岁以下,,,符合南开大学高端人才岗位、教授岗位、副教授岗位相应申报条件。,不限,,,,均可,不限,,
,教授、副教授,金融学（公司金融、资本市场）,教授40岁以下，副教授35岁以下,,,符合南开大学教授岗位、副教授岗位相应申报条件，海外知名大学博士毕业或长期进修。,不限,,,,均可,不限,,
,"南开讲席教授、杰出教授、英才教授；教授、
百名青年学科带头人",中国哲学、伦理学,讲座教授55岁以下；杰出、英才教授50岁以下,,,符合南开大学高端人才岗位、教授岗位、南开大学百名青年学科带头人培养计划相应申报条件。,不限,,,,均可,不限,,
,,财务管理,,,,符合南开大学高端人才岗位、南开大学百名青年学科带头人培养计划相应申报条件。,不限,,,,均可,不限,,
,百名青年学科带头人,会计学、图书馆、企业管理,40岁以下,,,符合南开大学百名青年学科带头人培养计划相应申报条件，入选国家“青年千人计划”者优先。,不限,,,,均可,不限,,
,教授、副教授,市场营销,教授40岁以下，副教授35岁以下,,,符合南开大学教授岗位、副教授岗位相应申报条件。,不限,,,,均可,不限,,
,教授、副教授；百名青年学科带头人,管理信息系统与电子商务,教授40岁以下，副教授35岁以下,,,符合南开大学教授岗位、副教授岗位、南开大学百名青年学科带头人培养计划相应申报条件，海外知名高校助理教授以上职位或国内知名高校副教授以上职位。,不限,,,,均可,不限,,
,,物流与供应链管理,,,,符合南开大学教授岗位、副教授岗位、南开大学百名青年学科带头人培养计划相应申报条件，海外知名高校助理教授以上职位；国内知名高校副教授以上职位；国家杰出青年基金和国家优秀青年基金潜在获得者。,不限,,,,均可,不限,,
,教授,情报学、档案学,40岁以下,,,符合南开大学教授岗位相应申报条件。,不限,,,,均可,不限,,
,教授、副教授,英语（日语、德语、法语、西班牙语）语言文学、外国语言学及应用语言学、翻译学等,教授40岁以下，副教授35岁以下,,,符合南开大学教授岗位、副教授岗位相应申报条件。,不限,,,,均可,不限,,
,教授,科学社会主义、思想政治教育,40岁以下,,,符合南开大学教授岗位相应申报条件，具有教授职称，获中国高等学校科学研究优秀成果三等奖以上，入选教育部新世纪优秀人才计划及以上。,不限,,,,均可,不限,,
,南开讲席教授、杰出教授、英才教授；教授﹑副教授,基础数学,讲座教授55岁以下；杰出、英才教授50岁以下；教授40岁以下，副教授35岁以下,,,符合南开大学高端人才岗位、教授岗位、副教授岗位相应申报条件。,不限,,,,均可,不限,,
,,光学工程、通信工程（无线通信技术）,,,,符合南开大学高端人才岗位、教授岗位、副教授岗位相应申报条件。,不限,,,,均可,不限,,
,南开讲席教授、杰出教授、英才教授   ,统计学、概率论与数理统计,,,,符合南开大学高端人才岗位相应申报条件，海外著名高校教授。,不限,,,,均可,不限,,
,,理论物理、凝聚态物理、光学,,,,符合南开大学高端人才岗位、副教授岗位相应申报条件。,不限,,,,均可,不限,,
,特聘研究员,无机化学、物理化学、分析化学、有机化学、化学生物学、农药学、植物保护、催化、能源材料、高分子材料与物理,,,,入选国家“青年千人计划”项目或达到同等水平，年龄在35周岁及以下，有深厚的学术积累和极大的科研发展潜力的高水平青年学术带头人（人才特区引进）。,不限,,,,,不限,,
,南开讲席教授、杰出教授、英才教授；教授、副教授；百名青年学科带头人      ,植物学,讲座教授55岁以下；杰出、英才教授50岁以下；教授40岁以下，副教授35岁以下,,,符合南开大学高端人才岗位、教授岗位、副教授岗位、南开大学百名青年学科带头人培养计划相应申报条件。,不限,,,,,不限,,
,,光学、凝聚态物理,,,,符合南开大学高端人才岗位、教授岗位、副教授岗位、南开大学百名青年学科带头人培养计划相应申报条件，具有海外博士后经历，对本学科的发展具有创新性构想和战略性思维。,不限,,,,均可,不限,,
,,数学各方向,,,,符合南开大学高端人才岗位、教授岗位、副教授岗位、南开大学百名青年学科带头人培养计划相应申报条件。,不限,,,,均可,不限,,
,,"控制科学与工程、
计算机科学与技术",,,,符合南开大学高端人才岗位、教授岗位、副教授岗位、南开大学百名青年学科带头人培养计划相应申报条件。,不限,,,,均可,不限,,
,,软件工程,,,,符合南开大学高端人才岗位、教授岗位、副教授岗位、南开大学百名青年学科带头人培养计划相应申报条件。,不限,,,,均可,不限,,
,,环境科学与工程、生态学,,,,符合南开大学高端人才岗位、教授岗位、副教授岗位、南开大学百名青年学科带头人培养计划相应申报条件。,不限,,,,均可,不限,,
,,微生物与生化药学、生药学,,,,符合南开大学高端人才岗位、南开大学百名青年学科带头人培养计划相应申报条件。,不限,,,,均可,不限,,
,特聘研究员,生物、化学、医学,,,,入选国家“千人计划”、“青年千人计划”项目或达到同等水平，有深厚的学术积累和极大的科研发展潜力的高水平青年学术带头人（人才特区引进）。,不限,,,,均可,不限,,
,教授、副教授,解剖学,教授40岁以下，副教授35岁以下,,,教授岗位达到国家“青年千人计划”入选条件；副教授岗位达到天津市“青年千人计划”入选条件，35岁以下。,1,,,,均可,不限,,
,南开讲席教授、杰出教授、英才教授；教授,药理学,讲座教授55岁以下；杰出、英才教授50岁以下,,,符合南开大学高端人才岗位、教授岗位申报条件，国家“千人计划”等国家级人才和青年人才项目候选人；所在专业领域的一流学者和学科建设领军人才或发展潜力和创新能力突出的优秀青年拔尖人才。,2,,,,均可,不限,,
,,分子遗传学、病理学、预防医学、组织胚胎学、生理学,,,,符合南开大学高端人才岗位相应申报条件，国家“千人计划”等国家级人才和青年人才项目候选人；所在专业领域的一流学者和学科建设领军人才。,6,,,,均可,不限,,
,教授,病原生物学,40岁以下,,,达到国家“青年千人计划”入选条件。,1,,,,均可,不限,,
,教授、副教授,微生物学,教授40岁以下，副教授35岁以下,,,符合南开大学教授岗位、副教授岗位相应申报条件，具有博士学位或博士后研究经历，具有较深厚的微生物学研究背景，具有教授、副教授职称或国外同等研究水平的人员。,不限,,,,均可,不限,,
,博士后流动站,中国古代文学、比较文学与世界文学、现代汉语,,博士,不限,海内外著名高校应届统招统分博士毕业。,不限,学校提供的工资标准不低于讲师岗位（应届博士来校），另可安排博士后公寓住宿，合作导师、课题组、学院给予相应配套待遇支持,,,均可,不限,,
,博士后流动站,历史地理学、历史文献学、史学理论及中国史学史、中国古代史、中国近代史、中国现代史、专门史,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,世界史学理论与史学史、世界古代中古史、世界近现代史、世界地区国别史、专门史与整体史,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,考古学史和考古学理论、史前考古、夏商周考古、秦汉魏晋南北朝考古、唐宋元明清考古、科技考古、文化遗产与博物馆、古代文字与铭刻、专门考古,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,马克思主义哲学,,博士,不限,海内外著名高校应届博士毕业。,不限,,,,均可,不限,,
,博士后流动站,美学,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,外国哲学,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,区域经济学（台湾经济与两岸经贸关系或城市经济方向）,,博士,不限,海内外著名高校统招统分博士毕业，熟练掌握地理信息系统。,不限,,,,均可,不限,,
,博士后流动站,金融学、金融工程,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,人口资源与环境经济学、劳动经济学,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,经济史、经济思想史（中国经济史与世界经济史方向）,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,工商管理,,博士,不限,海内外著名高校应届博士毕业，具有较高的英语水平。,不限,,,,均可,不限,,
,博士后流动站,管理科学与工程,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,图书情报与档案管理,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,社会学,,博士,不限,海内外著名高校博士毕业不超过3年，具有较高的英语水平，有明确的研究兴趣且与合作导师的研究方向契合。海外高校毕业者优先。,不限,,,,均可,不限,,
,博士后流动站,政治学、国际关系,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,公共管理,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,英语语言文学,,博士,不限,海内外著名高校博士毕业。,不限,,,,均可,不限,,
,博士后流动站,外国语言学、应用语言学,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,日语语言文学,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,俄语语言文学,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,马克思主义基本原理、马克思主义中国化、国外马克思主义、中共党史党建、思想政治教育、中国近现代史基本问题研究、科学社会主义与国际共产主义研究,,博士,不限,海内外著名高校应届或往届统招统分博士毕业。,不限,,,,均可,不限,,
,博士后流动站,区域经济学、区域产业规划,,博士,不限,海内外著名高校（非本校）博士毕业，已获得博士学位。专业基础扎实，数理基础好，具有独立进行学术研究与实践的能力，具有较高的英语水平。,不限,,,,均可,不限,,
,博士后流动站,交通规划、运输工程、产业经济学,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,管理科学与工程、工商管理、系统工程,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,旅游管理、旅游目的地营销研究方向,,博士,不限,海内外著名高校相关专业方向博士毕业不超过2年，具有较高的英语水平。,不限,,,,均可,不限,,
,博士后流动站,旅游管理、扶贫旅游研究方向,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,旅游管理、旅游信息化与电子商务研究方向,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,旅游管理、乡村旅游开发研究方向,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,日本历史文化研究,,博士,不限,海内外著名高校博士毕业，能够熟练使用日语进行相关研究。,不限,,,,均可,不限,,
,博士后流动站,经济学、金融学,,博士,不限,海内外著名高校博士毕业，具有较强的科研能力。,不限,,,,均可,不限,,
,博士后流动站,金融学（公司金融、资本市场）,,博士,不限,海内外著名高校博士毕业，具有较强的科研和教学能力，具有较高的英语水平。,不限,,,,均可,不限,,
,博士后流动站,基础数学、计算数学、概率论与数理统计、应用数学、运筹学与控制论,,博士,不限,海内外著名高校博士毕业，具有突出研究成果和发展潜力。,不限,,,,均可,不限,,
,博士后流动站,基础数学、理论物理,,博士,不限,海内外著名高校、科研机构博士毕业或出站的博士后。,不限,,,,均可,不限,,
,博士后流动站,组合数学、图论与组合优化、组合数论,,博士,不限,海内外著名高校博士毕业。,不限,,,,均可,不限,,
,博士后流动站,统计学、概率论与数理统计,,博士,不限,海内外著名高校博士毕业。,不限,,,,均可,不限,,
,博士后流动站,理论物理,,博士,不限,海内外著名高校应届博士毕业。,不限,,,,均可,不限,,
,,光学,,博士,不限,,不限,,,,均可,不限,,
,,凝聚态与材料物理,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,有机化学、分析化学、无机化学、高分子化学、物理化学,,博士,不限,海内外著名高校应届博士毕业。,不限,,,,均可,不限,,
,博士后流动站,材料物理与化学、材料学,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,农药学,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,生物学,,博士,不限,海内外著名高校应届统招统分博士毕业，有突出科研成果者优先。,不限,,,,均可,不限,,
,博士后流动站,光学工程,,博士,不限,海内外高水平科研机构博士毕业，具有良好的独立科研能力。,不限,,,,均可,不限,,
,博士后流动站,微电子学与固体电子学、薄膜光电子材料与器件,,博士,不限,海内外著名高校博士毕业。,不限,,,,均可,不限,,
,博士后流动站,控制科学与工程,,博士,不限,海内外著名高校近3年内获得博士学位，在移动机器人、欠驱动系统等方面成果较突出。,不限,,,,均可,不限,,
,博士后流动站,自动化、计算机、计算数学,,博士,不限,海内外著名高校博士毕业，具备较强的计算机软硬件研究能力和实验能力。,不限,,,,均可,不限,,
,博士后流动站,智能机器人系统,,博士,不限,海内外著名高校近3年内获得博士学位，在机器人控制、视觉与图像处理等方面成果较突出。,不限,,,,均可,不限,,
,博士后流动站,微纳操作机器人,,博士,不限,海内外著名高校近3年内获得博士学位，机械、机器人、控制、计算机等相关专业，具有较高的英语水平，具有微纳操作机器人项目经验者优先。,不限,,,,均可,不限,,
,博士后流动站,复杂系统建模优化与控制,,博士,不限,海内外著名高校近3年内获得博士学位，控制、航空、应用数学、运筹学与控制论等相关专业，具有较高的英语水平。,不限,,,,均可,不限,,
,博士后流动站,系统优化与调度,,博士,不限,海内外著名高校近3年内获得博士学位，控制、应用数学、运筹学与控制论等相关专业，具有较高的英语水平。,不限,,,,均可,不限,,
,博士后流动站,计算机科学与技术,,博士,不限,海内外著名高校相关专业博士毕业。,不限,,,,均可,不限,,
,博士后流动站,大气污染防治、分析化学、大气科学、计算机科学,,博士,不限,海内外著名高校博士毕业。,不限,,,,均可,不限,,
,博士后流动站,环境电化学,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,环境污染化学,,博士,不限,海内外著名高校环境科学或环境工程专业应届博士毕业，具有独立承担科研项目经验，具有较高的英语水平。,不限,,,,均可,不限,,
,博士后流动站,环境科学,,博士,不限,海内外著名高校（非本校）博士毕业生。,不限,,,,均可,不限,,
,博士后流动站,生物质资源化科学与技术,,博士,不限,海内外著名高校应届博士毕业，具有从事生物质固废资源化研究的经历，具有管理和开发科研仪器设备经历，获奖、专利等相关研究成果多者优先。,不限,,,,均可,不限,,
,博士后流动站,污染生态学、环境生态学,,博士,不限,海内外著名高校应届博士毕业。,不限,,,,均可,不限,,
,博士后流动站,全球变化,,博士,不限,,不限,,,,均可,不限,,
,博士后流动站,药物化学、有机合成、肿瘤药理,,博士,不限,海内外著名高校博士毕业，以第一作者的发表论文的总影响因子为4.0以上。,不限,,,,均可,不限,,
,博士后流动站,化学生物学,,博士,不限,海内外著名高校应届博士毕业，研究方向为有机合成、药物合成。,不限,,,,均可,不限,,
,博士后流动站,化学生物学,,博士,不限,海内外著名高校博士毕业。,不限,,,,均可,不限,,
,博士后流动站,微生物（计算机辅助药物设计）,,博士,不限,海内外著名高校博士毕业，具有较高的英语水平。,不限,,,,均可,不限,,
,博士后流动站,生命科学,,博士,不限,海内外著名高校博士毕业，具有较高的英语水平，具备较强的科研业务能力，精通细胞生物学常用技术，尤其是抗体技术与细胞培养。,不限,,,,均可,不限,,
,博士后流动站,细胞生物学、干细胞发育生物学,,博士,不限,海内外著名高校博士毕业，在细胞生物学、分子生物学或干细胞领域具有较强的研究背景。,不限,,,,均可,不限,,
,博士后流动站,药物化学、生物化学,,博士,不限,海内外著名高校应届统招统分博士毕业，在药物化学生物学领域具有较强的研究背景，具有较高的英语水平。,不限,,,,均可,不限,,
,博士后流动站,生物化学与分子生物学,,博士,不限,海内外著名高校应届统招统分博士毕业，在生物化学、结构生物学具有较强的研究背景，具有较高的英语水平。,不限,,,,均可,不限,,
,博士后流动站,细胞生物学    ,,博士,不限,海内外著名高校应届统招统分博士毕业，在细胞生物学、分子生物学或干细胞领域具有较强的研究背景，具有较高的英语水平。,不限,,,,均可,不限,,
,博士后流动站,分析化学、材料化学,,博士,不限,海内外著名高校应届统招统分博士毕业，在分析化学、高分子材料化学领域具有较强的研究背景，具有较高的英语水平。,不限,,,,均可,不限,,
,博士后流动站,微生物学,,博士,不限,海内外著名高校博士毕业，博士期间从事微生物遗传学研究，具有较高的英语水平。,不限,,,,均可,不限,,
,博士后流动站,光学、凝聚态物理,,博士,不限,海内外著名高校博士毕业，具有较高的英语水平。,不限,,,,均可,不限,,
,,光学,,博士,不限,海内外著名高校博士毕业，从事量子光学或者微纳光学方面的研究。,不限,,,,均可,不限,,
,,,,,,,,22.11604938,,,,,,
